recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Chocolate Mint,158,,,3,,,,,,5,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Cinnamon Cookies,,,,,,,,,,95,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Cinnamon Cookies,152,273,,4,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Cinnamon Cookies,96,0,,5,,,,,,3,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Cinnamon Cookies,240,,,5,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Cocomania,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Cocomania,146,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Cocomania,132,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Cocomania,156,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Copacabana,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Copacabana,101,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Copacabana,30,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Copacabana,71,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Cucumelon,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Cucumelon,24,,,1,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Cucumelon,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Cucumelon,103,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),D Cherry,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),D Cherry,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),D Cherry,0,,,,,,,,,,,,,,
